Date,Name,Year,Letterboxd URI,Rating
2018-12-13,Black Panther,2018,https://boxd.it/8MHs,3
2018-12-13,The Commuter,2018,https://boxd.it/dZ36,3.5
2018-12-13,Equilibrium,2002,https://boxd.it/211s,3
2018-12-13,The Cloverfield Paradox,2018,https://boxd.it/doVA,2
2018-12-13,10 Cloverfield Lane,2016,https://boxd.it/aZiu,4
2018-12-13,The Lovely Bones,2009,https://boxd.it/20IA,2
2018-12-13,Darkest Hour,2017,https://boxd.it/dZZa,4
2018-12-13,The Post,2017,https://boxd.it/fTeG,4
2018-12-13,The Terminal,2004,https://boxd.it/2a2O,3.5
2018-12-13,Schindler's List,1993,https://boxd.it/2aq2,5
2018-12-13,Hook,1991,https://boxd.it/29nQ,4.5
2018-12-13,The Hitman's Bodyguard,2017,https://boxd.it/dCmO,3.5
2018-12-13,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,4.5
2018-12-13,Logan Lucky,2017,https://boxd.it/dZrs,3.5
2018-12-13,Gerald's Game,2017,https://boxd.it/buKa,3
2018-12-13,Jigsaw,2017,https://boxd.it/9sDs,3
2018-12-13,Clown,2014,https://boxd.it/3LJ8,3
2018-12-13,Molly's Game,2017,https://boxd.it/dSl8,4
2018-12-13,The Room,2003,https://boxd.it/1ICY,0.5
2018-12-13,The Disaster Artist,2017,https://boxd.it/cTqc,4
2018-12-13,War for the Planet of the Apes,2017,https://boxd.it/8FE2,4.5
2018-12-13,"Tad, the Lost Explorer, and the Secret of King Midas",2017,https://boxd.it/g9l4,2
2018-12-13,Perfect Strangers,2017,https://boxd.it/fru2,3.5
2018-12-13,Jumanji,1995,https://boxd.it/1ZLI,4.5
2018-12-13,mother!,2017,https://boxd.it/dgRU,4
2018-12-13,Coco,2017,https://boxd.it/bYJQ,5
2018-12-13,Murder on the Orient Express,2017,https://boxd.it/dHjA,3.5
2018-12-13,The Crazies,1973,https://boxd.it/1nwg,2
2018-12-13,The Night Watchmen,2017,https://boxd.it/dY5q,3.5
2018-12-13,The Lodgers,2017,https://boxd.it/fdEM,2
2018-12-13,Revenge,2017,https://boxd.it/gL9g,3
2018-12-13,Ravenous,2017,https://boxd.it/eDPk,2
2018-12-13,Mom and Dad,2017,https://boxd.it/e6BO,4
2018-12-13,Housewife,2017,https://boxd.it/g1gU,1
2018-12-13,Replace,2017,https://boxd.it/free,4
